# init omega gamma A f
2.874818637e-01 3.134133938e+00 7.265385619e-01 2.892350736e+01 4.489416747e+00
1.190061732e+00 1.129046098e+00 3.396598642e-03 4.243812046e+00 3.460078532e+00
1.182450303e-01 2.602526411e+00 6.565511802e-01 6.952997047e-01 5.568859401e+00
-1.262837671e+00 2.909161185e+00 6.631029888e-01 3.245768842e+01 3.612951941e+00
-1.126331114e+00 2.333086506e+00 6.430770377e-01 1.871995517e+01 3.716987923e+00
1.451559480e+00 2.300016470e+00 7.998618354e-01 1.413082801e+01 5.115321969e+00
9.360462593e-01 2.904576314e+00 1.538430182e-01 2.283616382e+01 4.341000296e+00
-1.548793156e+00 1.077213480e+00 7.472441921e-01 1.902157230e+01 4.610537633e+00
1.399848247e+00 2.341465608e+00 2.835353957e-01 8.274827394e+00 5.795671534e+00
4.880269186e-01 1.706554740e+00 6.017576136e-01 1.169636740e+00 5.561327976e+00
1.289549547e+00 2.550245132e+00 6.977659655e-01 2.256427913e+01 5.975130743e+00
-1.090884168e+00 2.045219622e+00 5.061894287e-01 1.319629118e+01 6.006787219e+00
2.783054819e-01 2.036169376e+00 7.665090523e-01 1.846675542e+01 4.673204080e+00
1.182398279e-02 2.921087659e+00 9.750013332e-02 3.983565299e+01 5.263099973e+00
-1.024239797e+00 1.264916283e+00 7.662983493e-01 1.102291552e+01 4.122998575e+00
-1.372650063e+00 2.679284310e+00 6.671432610e-01 9.445641189e+00 3.223559533e+00
5.166817672e-01 1.092560339e+00 2.632896909e-01 2.226869976e+01 5.125414637e+00
-1.469817496e+00 2.168977273e+00 2.888902225e-01 3.903514493e+01 4.157370561e+00
-8.221914156e-01 1.361559813e+00 6.808222418e-02 5.410734964e+00 3.419565774e+00
4.844911216e-02 1.220127226e+00 6.083740541e-01 2.991304063e+01 4.631845081e+00
3.214035535e-01 3.135450580e+00 7.666883249e-01 1.651781943e+00 4.853862006e+00
-6.815070705e-01 2.054444931e+00 2.977401680e-01 2.870018749e+01 4.059131995e+00
1.077428210e+00 2.836873227e+00 5.550582293e-01 3.161525984e+01 3.312986329e+00
1.239375504e+00 2.492845457e+00 4.380089743e-01 1.735612872e+01 4.563736803e+00
7.008204542e-01 2.563552282e+00 5.671073144e-01 3.766882579e+01 3.252878275e+00
1.339340044e+00 2.326492075e+00 2.419717030e-01 6.479923950e+00 5.171263614e+00
-1.384748683e+00 1.697239684e+00 2.804270641e-01 6.943691957e+00 3.653603650e+00
-1.412536965e+00 1.401638630e+00 2.722256798e-01 7.235083565e+00 4.983256684e+00
-1.181016416e+00 1.771838483e+00 6.733668063e-01 1.762056711e+01 5.537434077e+00
-1.186667414e+00 2.142648077e+00 4.474516663e-01 1.069263976e+01 3.652463768e+00
9.781146574e-02 2.808438697e+00 5.745412617e-01 3.742959385e+01 3.908318263e+00
1.297253452e+00 2.853229863e+00 6.040867846e-01 1.118285827e+01 4.335886609e+00
-9.970527713e-01 1.725068082e+00 2.969293183e-01 3.677823938e+01 3.997435273e+00
1.543305951e+00 8.071192311e-01 1.135083473e-01 6.937024994e+00 4.570794508e+00
1.192901354e+00 1.750482401e+00 5.196330281e-01 6.543059445e-01 3.773600496e+00
-5.559193088e-01 2.051600981e+00 5.426505079e-01 3.908727012e+01 4.235312928e+00
-9.692686842e-01 1.965763922e+00 5.951276920e-01 3.682294402e+01 3.571344107e+00
-9.839396195e-03 1.000622870e+00 6.297146841e-01 1.417896713e+01 5.554093642e+00
-5.827672929e-01 2.826576827e+00 4.808255532e-01 5.794356538e+00 5.590199127e+00
-1.474843372e+00 2.348895413e+00 3.215007221e-01 1.636660019e+01 4.391897190e+00
-1.279162132e+00 2.922661689e+00 3.404075763e-02 3.403579806e+01 3.209132290e+00
2.795238955e-01 2.089877142e+00 1.896240423e-02 1.614006923e+01 4.728205751e+00
4.208805197e-01 2.593640754e+00 9.939042653e-02 2.502145017e+01 3.613464301e+00
1.464321681e+00 1.096994781e+00 2.113732988e-01 1.152282179e+01 5.004551237e+00
-1.523277791e+00 1.623433097e+00 5.784953829e-01 6.145001174e+00 6.056923786e+00
7.321223508e-01 9.193192618e-01 4.753992260e-01 2.811263773e+00 4.840487468e+00
4.171893660e-01 2.139803775e+00 3.215042306e-01 4.482272739e+00 6.070569361e+00
5.290652181e-03 2.256692195e+00 3.331492534e-01 3.079658880e+01 5.488582084e+00
-1.190259221e+00 1.554163042e+00 7.879752259e-02 1.677338078e+01 3.422931583e+00
1.123932812e+00 1.634906268e+00 1.978804225e-01 1.495648367e+01 3.919145883e+00
6.355701472e-01 1.770090250e+00 6.083992196e-01 1.455353322e+01 4.426232603e+00
2.154480499e-01 1.291674509e+00 3.665611559e-01 2.491884692e+01 5.451708348e+00
1.510651524e+00 2.611228833e+00 5.757527578e-01 4.830369954e+00 4.829833067e+00
-1.286292518e+00 1.956435957e+00 4.636606069e-01 2.200895725e+01 5.262314365e+00
7.130304810e-01 1.478982905e+00 3.470491484e-01 5.064074548e+00 3.914479318e+00
-3.569017639e-02 2.664270498e+00 7.968318458e-03 1.031703524e+01 5.849888052e+00
-6.892326942e-01 2.920701721e+00 4.852405535e-01 7.704940086e-01 3.212511781e+00
1.209937038e+00 2.418157495e+00 2.707001934e-01 2.793308499e+01 4.835545101e+00
9.662664746e-01 1.605914012e+00 4.360074160e-01 2.673876152e+01 5.166929776e+00
-1.901296183e-01 2.222334111e+00 6.464878685e-01 2.671942939e+01 5.583243738e+00
4.447751007e-01 1.612992127e+00 6.132544238e-01 3.047212241e+01 4.050436309e+00
4.114626506e-01 2.258338408e+00 4.698591335e-01 2.638539289e+00 5.252757257e+00
-1.543508686e+00 1.399829271e+00 2.410001616e-01 2.133005403e+01 4.113867737e+00
-8.739927889e-01 1.189044255e+00 1.916913686e-01 7.843522762e+00 3.405919673e+00
-8.889566598e-01 2.126251227e+00 7.818562626e-01 4.077889748e-01 4.217635032e+00
-8.783552528e-01 1.685184873e+00 8.233984600e-02 3.622220585e+01 5.557270225e+00
7.571708511e-01 9.981022296e-01 2.271945365e-01 2.199729255e+01 4.334911605e+00
1.386479590e+00 1.633366937e+00 3.596529017e-01 3.952329046e+01 4.687825182e+00
-7.333868800e-01 2.271306758e+00 2.996011032e-01 1.947877706e+01 4.474274119e+00
7.764381885e-01 2.870588488e+00 5.919633588e-01 4.194029699e+00 4.305212012e+00
-1.563496819e+00 2.934349508e+00 2.084698707e-01 1.510294728e+01 3.339466180e+00
9.713788466e-01 2.811577876e+00 6.820046771e-01 2.961034335e+00 4.235957828e+00
9.633799215e-01 3.089934342e+00 8.016773705e-02 3.159838158e+01 3.340936266e+00
-1.398767427e+00 1.468386132e+00 3.740071575e-01 2.748932201e+01 4.116575183e+00
-1.259340072e+00 3.014872984e+00 1.236478471e-01 2.513790746e+01 3.283257441e+00
1.671314270e-01 1.880926286e+00 3.615713966e-01 3.999310389e+01 4.265399530e+00
8.255391349e-01 1.626094886e+00 5.488560079e-01 1.295211837e+01 3.925412161e+00
7.251240827e-01 1.653962696e+00 6.985147575e-01 3.726291897e-01 5.283106226e+00
5.729590787e-01 3.065785823e+00 4.293853551e-01 2.567175653e+01 5.448162037e+00
8.245367098e-01 3.122508123e+00 4.733101202e-01 1.290458149e+01 4.051010683e+00
3.121553315e-01 3.071024991e+00 8.820795047e-02 2.721802669e+01 3.941844902e+00
-8.306010490e-01 2.634262548e+00 6.371522477e-01 2.803645682e+01 4.091510915e+00
-1.481887544e+00 7.948102917e-01 2.839081621e-01 9.123174015e+00 4.561053088e+00
1.292662132e+00 1.422537527e+00 4.724968887e-01 2.550902633e+01 3.758153273e+00
-2.697869172e-01 1.948204146e+00 6.852271571e-01 2.569241741e+01 4.171193612e+00
7.016772127e-01 1.607067054e+00 6.524019654e-01 3.835869904e+01 5.424261648e+00
-7.349142568e-01 1.417669123e+00 2.166577924e-01 3.485689410e+01 6.155013830e+00
1.508360473e+00 2.998032658e+00 4.605817415e-01 2.989078961e+01 3.633416536e+00
-1.010797392e+00 1.766465335e+00 3.829165090e-01 3.122304474e+01 4.874797999e+00
-1.422676166e+00 1.545615970e+00 3.868050472e-01 5.666193818e+00 3.490479855e+00
-1.847636151e-02 2.304112189e+00 5.027212269e-02 1.990837292e+01 3.301039621e+00
-4.065385715e-01 1.559303274e+00 6.377677195e-01 3.236437061e+01 5.755291708e+00
4.885031646e-01 2.926790909e+00 7.024198869e-01 2.223760239e-01 5.572045724e+00
-1.569855156e+00 2.283359403e+00 3.802807016e-01 1.497860910e+01 5.053767632e+00
-1.120933763e+00 1.580613235e+00 4.964155648e-02 2.056814193e+01 4.698083018e+00
1.127184263e+00 9.287311837e-01 2.118253543e-01 3.434816153e+01 4.706901853e+00
5.740233051e-01 1.047327987e+00 1.346161602e-01 2.650614619e+01 4.132654873e+00
-5.274154185e-01 2.290700887e+00 6.642009491e-01 3.258780782e+01 5.363958898e+00
-1.492077135e+00 2.692712291e+00 5.088378702e-01 1.502623940e+01 3.632490065e+00
-1.437482842e+00 1.890381274e+00 3.431819972e-01 2.265387666e+01 3.602416861e+00
-3.467109094e-01 9.018510418e-01 1.238644169e-01 3.659132555e+01 5.978203855e+00
1.391055523e+00 2.000501920e+00 5.101791684e-02 9.698590078e+00 4.243000314e+00
1.314441899e+00 1.391323239e+00 3.930066960e-01 2.565689528e+01 3.220400641e+00
-5.817573221e-01 1.724931711e+00 6.260083217e-01 2.424032871e+01 6.173391189e+00
-4.012261881e-01 2.136296031e+00 1.567962269e-02 3.200187394e+01 5.487466764e+00
-7.324058069e-01 1.328470784e+00 5.965044152e-01 2.278960880e+00 5.315011805e+00
-1.124515783e+00 1.050473376e+00 4.872276148e-01 3.988782258e+01 5.315673569e+00
2.873681590e-01 1.510820238e+00 4.448290783e-01 1.059839010e+01 5.852327304e+00
-1.159300106e-01 2.066895056e+00 1.985991041e-01 3.071139230e+01 3.187061904e+00
1.052937229e+00 2.301720546e+00 7.900348460e-01 2.131043278e+01 4.803734304e+00
-1.433740052e-02 2.411629528e+00 5.628820789e-01 5.949432548e+00 5.597973505e+00
-1.514376397e+00 2.841207295e+00 5.060294164e-01 7.385969546e+00 4.211997859e+00
-1.950106150e-01 8.371993447e-01 6.222276843e-01 3.877884324e+01 5.196186571e+00
-1.149119384e+00 2.345473269e+00 4.823980681e-01 2.352257271e+01 4.798830723e+00
-5.262609550e-01 3.000687517e+00 6.544451272e-01 1.767619042e+00 4.986287507e+00
4.090478553e-03 2.436700116e+00 3.481770952e-02 9.020772229e+00 3.403268302e+00
1.361777530e-01 1.855801715e+00 2.350903445e-01 1.848703841e+01 3.797826947e+00
6.118255490e-01 9.616200259e-01 4.536569862e-01 1.141713531e+01 3.837263879e+00
1.457574641e+00 2.590233793e+00 3.616185623e-01 2.774108567e+01 5.500844890e+00
-3.928088913e-01 2.360686145e+00 6.123448097e-01 6.835329888e+00 6.233843356e+00
8.017920922e-01 1.459664575e+00 3.082630791e-01 2.437270328e+01 3.190282179e+00
8.942638056e-02 1.447444842e+00 4.956978509e-01 1.604395301e+01 5.882172514e+00
1.144942790e+00 1.586256738e+00 5.910143557e-01 3.586044991e+01 4.054442941e+00
1.910658501e-01 3.045313858e+00 3.566608799e-01 1.245473108e+01 5.135676160e+00
-3.700884012e-01 1.274807791e+00 3.823028552e-01 3.920018105e+01 5.615089328e+00
-1.196687324e-04 2.022296837e+00 1.714960625e-02 3.987064201e+01 4.327537015e+00
9.337690738e-02 2.561035771e+00 5.165930835e-01 1.738666143e+00 5.250040149e+00
1.524852955e+00 2.528087287e+00 4.970475931e-01 1.075190983e+01 4.191291911e+00
-1.377576483e+00 1.895281050e+00 3.761785192e-01 2.779041524e+01 4.856867036e+00
-1.429180749e+00 1.504722302e+00 5.810729124e-02 1.186904585e+01 3.690117083e+00
-9.598201551e-01 1.646765161e+00 2.754211788e-01 7.042360333e+00 5.718224105e+00
-1.557726357e+00 1.406173637e+00 6.563644147e-01 1.551854922e+01 4.178031060e+00
-1.237752910e+00 2.546553313e+00 4.887413993e-01 2.218494518e+01 3.864457101e+00
-3.314655143e-01 1.151175173e+00 4.533764619e-01 3.785778133e+01 4.571954299e+00
-9.268310664e-01 2.929639240e+00 2.743177549e-01 7.244363231e+00 5.464118918e+00
-5.662874150e-02 1.021923589e+00 1.100358252e-01 9.562766726e-01 5.018524679e+00
1.084556455e+00 2.508491562e+00 5.962574041e-01 1.770165453e+01 4.085716064e+00
4.347902035e-01 1.179264109e+00 4.249102327e-01 3.569353774e+00 4.693503988e+00
8.397371095e-01 1.721070431e+00 5.309376095e-01 3.587366886e+01 6.241240519e+00
1.037920269e+00 9.783306353e-01 7.702174584e-01 1.211449899e+01 5.416905401e+00
-1.171409992e+00 1.551075751e+00 6.226297436e-01 1.264275654e+01 3.579010024e+00
-1.431001050e+00 2.861759643e+00 4.937884805e-01 2.407904530e+01 3.674344131e+00
-1.626610318e-01 1.356930552e+00 1.577574181e-01 1.721063715e+01 3.724086197e+00
-1.050155556e-01 1.585197988e+00 2.070204159e-01 3.051444411e+01 4.573625235e+00
1.445239908e+00 2.226673306e+00 2.807687585e-01 1.097909622e+00 5.015753755e+00
-7.604898585e-01 2.688185775e+00 7.388490831e-01 3.955109516e+01 4.388452333e+00
-1.754922365e-01 2.103078099e+00 3.701260673e-01 3.366234502e+01 4.446488619e+00
1.852863110e-01 1.851107082e+00 2.608908060e-01 3.965069766e+01 4.030758729e+00
1.098964910e+00 1.159179411e+00 4.625607576e-01 3.744430085e+01 4.949034174e+00
-1.176467152e+00 2.268781573e+00 1.072800089e-01 3.857090262e+01 5.670412687e+00
1.345494328e+00 1.580102881e+00 2.249053356e-02 1.787563421e-01 4.468960939e+00
2.502863753e-01 1.105154438e+00 3.235037641e-01 3.597263535e+01 4.803431149e+00
-1.176450902e-01 1.183571635e+00 6.855948679e-01 4.039163354e+00 5.987582026e+00
-1.777436688e-01 1.323872510e+00 4.219048691e-01 2.448293561e+01 4.657984729e+00
-1.413342113e+00 3.122984474e+00 4.925957032e-01 3.136723245e+01 4.039953021e+00
-7.064180619e-01 1.963782407e+00 8.748816705e-02 2.524155712e+01 4.892724838e+00
3.765776442e-01 1.881342750e+00 1.437060071e-01 6.376625280e+00 3.755713782e+00
1.315698237e+00 1.447090048e+00 7.156548601e-01 1.066750128e+00 4.900441896e+00
1.320942947e+00 1.829938274e+00 7.145703969e-01 6.632622474e+00 3.146287040e+00
-7.659604113e-01 9.923347790e-01 4.052546432e-01 2.894965060e+01 6.234555180e+00
1.134994743e-01 1.400923205e+00 7.991728163e-01 3.839742691e+01 4.794381253e+00
-6.093981741e-01 1.118783201e+00 4.857659370e-01 5.085260711e+00 4.396586987e+00
-4.149456704e-01 1.344167683e+00 1.714660862e-01 3.125515015e+01 5.418058746e+00
-4.675549351e-01 1.299605855e+00 7.711296382e-02 1.120945393e+01 5.798137477e+00
-2.109837220e-01 2.027270812e+00 6.899408587e-01 3.964899830e+01 5.642829973e+00
-1.559757038e+00 1.563981180e+00 1.164783251e-01 7.493169341e+00 6.134272853e+00
-1.417120367e-01 2.960631857e+00 3.881020169e-01 1.641183478e+01 5.287468643e+00
-5.841687606e-01 1.620467474e+00 2.656060980e-02 8.221407534e+00 5.172973401e+00
-7.421402595e-01 1.406327995e+00 6.006672007e-01 2.104089570e+01 3.975984826e+00
2.273769287e-01 2.170738955e+00 3.018296814e-01 7.833016010e+00 5.387765323e+00
-2.820141588e-02 2.714806922e+00 7.901910654e-01 2.086386146e+01 6.196860169e+00
6.898230213e-01 3.072873091e+00 2.578026705e-01 3.609125490e+01 5.606455535e+00
-1.137106701e-01 2.754898074e+00 2.348922734e-01 3.531016337e+01 6.254063243e+00
1.102496270e+00 2.262282387e+00 2.119456462e-01 3.213666101e+01 5.341006722e+00
9.053645881e-01 1.525685231e+00 9.812937289e-03 9.106174990e-01 6.090201127e+00
1.288883847e-01 2.224990330e+00 2.411717876e-01 3.192609617e+01 4.042530795e+00
