# init omega gamma A f
8.791460347e-02 1.349365421e+00 1.316203039e-01 7.092505029e-01 3.138017184e+00
6.019179766e-02 1.111473346e+00 3.096983023e-01 7.862509248e-01 1.808116892e+00
4.438006225e-01 1.079803235e+00 3.662235790e-01 6.713265920e-01 3.049267200e+00
1.425759701e+00 1.322053802e+00 7.044793112e-02 8.086584313e-01 2.166024169e+00
1.910765747e-01 1.403351431e+00 9.897079217e-02 8.750971871e-01 2.320961511e+00
1.201601227e+00 1.535408046e+00 3.777015975e-01 7.995376903e-01 2.029225288e+00
1.220673257e+00 1.279812246e+00 3.875933803e-01 6.990185207e-01 2.424015679e+00
7.495956234e-01 1.520784720e+00 1.261597142e-01 2.591174560e-01 2.359233054e+00
1.237098933e+00 9.040737041e-01 2.357213995e-01 5.348450999e-01 1.992156898e+00
1.529695468e+00 1.138117617e+00 3.278392144e-01 7.907841136e-01 2.930148433e+00
6.268922505e-01 1.042329990e+00 2.418422056e-01 1.214199098e-01 1.653364361e+00
8.036762395e-01 1.207874275e+00 2.577682028e-01 5.099012815e-01 1.905380687e+00
3.870094525e-01 7.891098281e-01 1.991148212e-01 7.143870850e-01 2.681922668e+00
5.262375832e-01 9.069441920e-01 7.773633324e-02 5.947424485e-01 2.051021781e+00
8.325420386e-01 1.530408691e+00 3.841826100e-01 5.393937527e-01 2.532788243e+00
9.416690462e-01 1.056067679e+00 3.356930120e-01 4.268686576e-01 3.097269698e+00
1.451265846e+00 9.560896122e-01 1.755261285e-01 2.108277877e-01 3.051712448e+00
9.980802492e-01 7.860177197e-01 5.117788635e-02 9.087597050e-01 2.386223777e+00
4.960036896e-01 1.202485829e+00 1.237676975e-02 7.687959687e-01 1.814775585e+00
7.907956812e-02 1.538949910e+00 3.649913996e-01 7.910539556e-01 2.715310773e+00
4.615942799e-01 1.387942222e+00 1.528110621e-02 4.802498560e-01 2.498286221e+00
5.579830866e-02 1.101731814e+00 1.009401083e-01 8.843169225e-01 3.096323777e+00
3.201087647e-01 1.259096342e+00 2.714089562e-01 4.195078684e-01 2.954150983e+00
8.170343673e-01 1.124167911e+00 8.321279580e-02 6.000373144e-01 2.498753744e+00
1.227685814e+00 8.532167015e-01 1.857103245e-01 1.597965950e-01 1.692207403e+00
2.330095668e-01 8.039268644e-01 1.876986394e-01 7.320718304e-01 2.607479038e+00
4.182443618e-01 1.033724404e+00 2.644635642e-01 9.734612551e-01 2.229717140e+00
3.670253770e-01 8.469782961e-01 1.053700268e-03 8.363231224e-01 1.773111662e+00
2.579676889e-01 8.920327911e-01 2.263225794e-01 2.091117210e-01 2.938218784e+00
1.089663605e+00 1.159585771e+00 3.149517071e-01 7.473612693e-01 2.752604107e+00
8.534500762e-01 1.167956265e+00 7.434919868e-02 4.713322275e-01 2.471890790e+00
9.114795650e-01 1.183333555e+00 1.824919856e-01 7.475987187e-01 1.983583743e+00
1.404988091e+00 1.219404005e+00 2.652331360e-01 6.682864915e-01 1.919689062e+00
4.534022787e-01 1.073185576e+00 2.050332480e-02 3.322052175e-01 2.427201833e+00
4.752849387e-01 1.566830985e+00 1.304138091e-01 5.250989640e-01 2.083606059e+00
5.703319821e-02 8.967841323e-01 2.161519968e-01 6.551871591e-01 1.664655712e+00
4.935111550e-01 1.319145348e+00 1.022006538e-01 8.497218660e-01 1.906749941e+00
6.617667312e-01 1.249826617e+00 9.370677594e-02 6.542696985e-01 2.529160013e+00
1.537615389e-01 1.188958700e+00 8.586901298e-02 3.172358506e-01 2.712439152e+00
1.434429471e+00 1.493462841e+00 5.488035121e-02 4.151423035e-01 2.902381970e+00
2.284916245e-01 1.522541796e+00 3.639729839e-01 4.225381433e-01 2.188936463e+00
4.878461103e-02 1.412036806e+00 1.613022479e-01 7.288148132e-01 1.892822163e+00
1.595124056e-01 1.392044005e+00 1.819421980e-01 9.073398338e-01 2.289155350e+00
1.278638498e+00 1.156130012e+00 8.334185068e-02 9.242515377e-01 1.626690525e+00
9.462081634e-01 9.133538581e-01 1.174834236e-01 5.384150265e-01 1.608598182e+00
6.512256403e-01 1.363156403e+00 1.929524165e-02 7.894270089e-01 3.004396328e+00
1.331518574e+00 1.455225700e+00 1.295364949e-01 3.823571173e-01 2.128824131e+00
1.139108034e+00 1.448701103e+00 5.745284812e-02 6.991245406e-01 1.764506125e+00
3.251554245e-01 1.396411595e+00 2.670664207e-01 4.954019461e-01 2.018662292e+00
1.804354543e-01 1.309010822e+00 1.765517862e-01 2.764285926e-01 2.042993078e+00
1.440868428e+00 1.421471117e+00 2.336403906e-01 7.118573027e-01 2.000936321e+00
1.256030194e+00 1.101020577e+00 3.575568493e-01 7.371418578e-01 1.738596729e+00
9.738316151e-01 1.027254677e+00 2.861206840e-01 7.495760346e-01 2.033584175e+00
5.832267368e-01 1.131447962e+00 3.062551263e-01 5.336785591e-01 2.294082314e+00
1.247056594e+00 8.708650458e-01 1.946394783e-01 2.806181047e-01 1.926024038e+00
1.562236428e+00 8.850284586e-01 3.778784261e-01 3.323961817e-01 2.806466043e+00
4.064364563e-01 1.124709456e+00 7.725336890e-02 2.204776837e-01 3.118974266e+00
7.138782303e-01 1.477348879e+00 3.908151211e-01 6.675438888e-01 2.671071297e+00
2.695719619e-01 1.248561513e+00 7.541857936e-03 6.521659558e-01 2.847361441e+00
1.727969996e-01 1.037277530e+00 2.584614749e-01 4.808563054e-01 2.000552267e+00
1.323290438e+00 1.206505443e+00 2.764743546e-02 7.744758958e-01 2.904868417e+00
1.258339588e-01 1.274362502e+00 7.543571370e-02 4.221565266e-01 1.654348672e+00
5.650896491e-01 1.329519929e+00 2.451813244e-01 3.677587725e-01 2.676683510e+00
1.427291404e-01 9.009872529e-01 7.750815851e-02 8.001466777e-01 2.329222393e+00
4.953684442e-01 1.418473602e+00 3.650135775e-01 2.159294898e-01 2.607921167e+00
7.500394614e-01 1.210619490e+00 1.874279494e-01 5.482666270e-01 2.887659887e+00
2.567022688e-01 1.162868330e+00 1.372466619e-02 3.830115411e-01 2.337830870e+00
9.226716687e-01 1.107413705e+00 2.038340384e-01 3.559920521e-01 1.614523840e+00
1.465451447e+00 1.231497640e+00 2.149100905e-01 5.141454890e-01 1.809943831e+00
1.080868197e+00 1.125636803e+00 3.874961924e-01 4.828604996e-01 2.817121995e+00
1.546085556e-01 1.513232431e+00 1.586632115e-01 2.711100091e-01 2.419796878e+00
1.560872756e+00 8.240612759e-01 3.347851537e-01 5.506565523e-01 2.409318100e+00
9.197701506e-01 1.147946039e+00 1.570289795e-01 8.214981084e-01 1.598938422e+00
9.465229185e-01 1.393889640e+00 2.291305470e-01 7.171237250e-01 2.190866647e+00
1.695271242e-01 9.451362755e-01 2.778135465e-01 4.158708190e-01 2.177892395e+00
1.071739074e+00 8.411778466e-01 9.033764716e-02 7.603472392e-01 3.077581187e+00
4.276667821e-01 8.159999718e-01 8.262383542e-02 9.553158079e-01 1.645820647e+00
6.206495504e-01 1.460916509e+00 1.858720247e-01 4.122082430e-01 2.166885012e+00
2.093306158e-01 1.127126795e+00 3.294745029e-02 3.627319316e-01 1.946637042e+00
1.038623695e+00 1.220503002e+00 1.159698817e-01 8.692881060e-01 2.279923476e+00
6.740396173e-01 9.677157094e-01 5.046775378e-02 4.118131821e-01 2.516360868e+00
3.772018460e-01 1.527216153e+00 3.583120287e-01 7.724274681e-01 2.320029155e+00
1.724436893e-01 9.234237919e-01 1.746194221e-02 5.786188945e-01 1.730375729e+00
2.642529310e-01 1.370820923e+00 1.313786743e-01 4.277361413e-01 1.641546127e+00
1.249336344e-01 1.251169276e+00 3.509975225e-01 4.603768499e-01 3.007848872e+00
8.014975813e-01 9.543921534e-01 3.878194258e-01 8.747050746e-01 2.310183327e+00
2.111845203e-01 9.480922990e-01 3.097549061e-02 1.129772438e-01 2.708929340e+00
1.037084255e+00 1.121338495e+00 2.542563325e-01 5.949880426e-01 2.553909777e+00
6.484251973e-02 1.394832000e+00 3.857359047e-02 2.085442039e-01 2.293885265e+00
3.350855565e-01 1.217929697e+00 1.382708948e-01 7.384295737e-01 1.881049370e+00
8.272416342e-02 9.271594093e-01 3.070140122e-01 1.560778988e-01 1.902150424e+00
1.281431812e+00 8.353446331e-01 1.301398724e-01 8.723280979e-01 2.792945505e+00
9.621426314e-01 1.317887855e+00 1.096435031e-01 1.365324331e-01 2.187037729e+00
1.186985830e-01 1.421984926e+00 2.122701933e-01 7.922158032e-01 2.364921609e+00
8.432174480e-01 1.111337627e+00 8.320528902e-03 5.826783174e-01 2.997376469e+00
8.102431188e-01 1.237828735e+00 3.468737105e-01 1.060075061e-01 2.968845979e+00
2.523959614e-02 9.594417196e-01 2.338110735e-01 8.015764373e-01 2.038136092e+00
7.066404241e-01 9.834711414e-01 1.034093037e-01 3.588155873e-01 1.919777255e+00
8.468126860e-01 9.649114026e-01 3.258876509e-01 4.694078967e-01 2.461126365e+00
1.326685387e+00 1.490358392e+00 9.706878726e-02 3.659515023e-01 2.455278056e+00
9.226413450e-01 1.256796525e+00 1.507023908e-01 1.884892096e-01 2.487866072e+00
9.463147298e-01 9.104629136e-01 3.973755662e-01 2.363899955e-01 2.743383694e+00
1.309537448e+00 1.354750998e+00 3.543981135e-04 4.605520186e-01 2.558639063e+00
1.138203303e+00 8.714983620e-01 1.672680861e-01 5.283265750e-01 2.442494189e+00
2.966433657e-01 9.218426883e-01 8.111119122e-02 5.227540100e-01 2.617949231e+00
1.730223361e-01 1.478417093e+00 3.983573568e-01 3.513143037e-01 2.455389884e+00
4.124516744e-01 9.864365928e-01 1.749502772e-01 3.514202816e-01 2.988756918e+00
1.141456814e+00 9.502521492e-01 2.418430264e-01 8.054560032e-01 2.356704855e+00
2.658779520e-01 8.549671115e-01 2.499468281e-01 1.045008054e-01 1.871953379e+00
7.224533837e-01 1.278561081e+00 1.024139083e-01 6.963593594e-01 1.766002141e+00
4.772597392e-01 1.282374349e+00 3.881412063e-01 6.203781398e-01 2.036591977e+00
3.321269522e-03 1.499686436e+00 2.816051534e-01 5.762549779e-01 2.261840740e+00
1.111074673e+00 8.185232721e-01 1.512376085e-01 9.916727377e-01 2.234031683e+00
8.319172581e-01 1.242749294e+00 1.277633132e-01 8.413526819e-01 2.606679543e+00
8.179787939e-01 1.165195293e+00 1.170898266e-01 8.934968906e-01 2.419033802e+00
3.230862270e-01 1.318424486e+00 3.407030360e-01 5.669333835e-01 2.854904920e+00
5.801184887e-01 1.053105974e+00 3.676785214e-01 1.227528404e-01 1.836575695e+00
1.063693099e+00 1.362275496e+00 2.293747539e-01 3.789772413e-01 1.905237141e+00
1.183271040e+00 8.503374904e-01 2.456710988e-01 1.366853597e-01 1.961750200e+00
6.730331194e-01 9.072681327e-01 3.591175605e-01 2.623936508e-01 2.610821104e+00
4.711979703e-01 1.152714354e+00 1.327440147e-01 5.564033160e-01 2.358208734e+00
4.782622916e-01 9.456613122e-01 2.136148601e-02 2.874153784e-01 2.453175000e+00
1.056025435e+00 1.181149633e+00 2.232362883e-01 6.752396158e-01 2.027819751e+00
1.116253371e+00 7.961644155e-01 2.516095470e-01 5.334197759e-01 2.385911527e+00
6.204682564e-01 1.406657137e+00 2.302857738e-01 1.585243872e-01 1.963260608e+00
6.114869309e-01 1.451429110e+00 1.168363897e-01 1.850729211e-01 2.512615912e+00
1.379832420e+00 1.046030274e+00 8.796116707e-02 3.841023573e-01 2.092794112e+00
3.010268394e-01 1.491149750e+00 1.842594539e-01 3.297269593e-01 2.741121258e+00
1.274777918e+00 1.324582433e+00 9.024286242e-02 3.648903265e-01 2.305238294e+00
5.685469733e-01 1.481347234e+00 3.169257057e-01 8.143313780e-01 2.542289539e+00
9.454753775e-01 9.056066276e-01 3.713356042e-01 5.015273578e-01 2.602284362e+00
4.965852569e-01 1.417269288e+00 1.271080971e-01 8.922223463e-01 3.057823315e+00
6.533017010e-01 1.142374989e+00 6.125049895e-02 5.819491711e-01 1.636992651e+00
7.068769498e-01 1.178741174e+00 2.460372906e-01 6.383552152e-01 3.021354510e+00
1.511340753e+00 1.237814220e+00 1.367437431e-02 7.808564350e-01 2.223085758e+00
1.018154116e+00 1.379951848e+00 1.160635453e-01 4.218420605e-01 2.529038772e+00
1.043510428e+00 1.422218772e+00 3.877116579e-01 2.158135138e-01 1.675469455e+00
9.534197647e-02 8.721578868e-01 2.953195707e-01 7.225213617e-01 2.755936683e+00
1.063961664e+00 9.474933807e-01 1.079761143e-01 7.892897638e-01 2.725001172e+00
1.437434295e+00 9.117092016e-01 2.795638290e-01 2.177056141e-01 2.875956085e+00
1.548099421e+00 1.482995794e+00 3.549936803e-02 2.993160859e-01 2.155213889e+00
1.197046197e+00 1.003087167e+00 1.734634858e-01 6.626824523e-01 2.963917011e+00
1.203247311e+00 1.279036346e+00 2.025597919e-01 9.558483602e-01 2.162046485e+00
8.958214573e-02 1.180345948e+00 2.876173154e-01 4.910483845e-01 1.916738702e+00
4.347998636e-01 1.257135855e+00 3.164195544e-01 8.064588235e-01 2.040821505e+00
1.131766683e+00 1.224092642e+00 5.629277370e-02 6.051741310e-01 2.113282956e+00
1.517393348e+00 1.525097333e+00 2.672863175e-01 8.741852088e-01 2.873763684e+00
1.108644454e+00 1.248585364e+00 7.697630701e-02 3.043371132e-01 2.912022327e+00
8.133961200e-01 1.256350506e+00 1.926008669e-01 9.821933509e-01 2.014937309e+00
5.719317611e-02 1.447847861e+00 2.339693765e-01 4.194250411e-01 2.988514705e+00
2.323537194e-02 9.183624431e-01 2.060297911e-02 2.163917850e-01 2.547375694e+00
3.609863471e-01 1.457254908e+00 2.165752111e-01 7.746415911e-01 1.652505767e+00
7.179875889e-01 1.044641950e+00 1.321555961e-01 2.990524924e-01 1.967609327e+00
9.593700371e-01 1.498356353e+00 1.512438607e-01 6.949266951e-01 2.591698739e+00
6.270404802e-01 1.549413251e+00 1.368176076e-01 9.237319458e-01 1.968919315e+00
1.262249830e+00 1.162205742e+00 2.471923686e-01 7.527502340e-01 2.796175867e+00
1.224236990e+00 8.938760260e-01 1.580927031e-01 9.113971534e-01 2.450626296e+00
9.935272776e-01 1.359510090e+00 1.339088663e-01 9.795975521e-01 1.982386539e+00
7.863394809e-01 1.351521744e+00 2.464134535e-01 5.431464024e-01 2.992822420e+00
8.451607345e-01 1.006118036e+00 1.400561355e-01 7.552354135e-01 1.914479983e+00
1.427403675e+00 1.192349502e+00 1.956821319e-01 8.695127793e-01 2.234351267e+00
1.382307691e+00 1.252824233e+00 3.513995105e-01 3.776132416e-01 2.625012350e+00
1.559823843e+00 1.312950655e+00 2.096414601e-01 9.899285068e-01 2.143506388e+00
4.026996161e-01 1.253960619e+00 2.780646690e-01 2.180555711e-01 1.985743223e+00
1.317827137e+00 1.133268435e+00 3.189766712e-01 8.145294668e-01 2.517325048e+00
8.435692436e-01 1.149494268e+00 3.338082352e-01 9.072150722e-01 2.257187054e+00
2.361304733e-02 1.081706074e+00 3.298751182e-01 5.978962802e-01 2.815659583e+00
1.534753181e+00 1.467779791e+00 1.845929788e-01 4.079318361e-01 2.003956556e+00
7.294620114e-01 1.439311936e+00 2.029412781e-01 9.531471514e-01 2.812088445e+00
1.152344337e+00 1.297813905e+00 4.103111302e-03 4.766508431e-01 2.994957286e+00
8.015403873e-01 1.008198120e+00 2.429837955e-01 2.490136056e-01 2.998233287e+00
8.323764024e-01 9.580390587e-01 3.368245797e-01 4.785141071e-01 2.905266899e+00
1.224714978e+00 1.145610117e+00 3.362724236e-01 7.457704655e-01 2.904702839e+00
1.192126256e+00 9.131561338e-01 1.677163514e-01 7.666660320e-01 2.055653998e+00
1.073248477e+00 1.265828543e+00 9.404826291e-02 7.245234417e-01 2.369195274e+00
7.621670985e-01 9.697792474e-01 3.608987038e-01 3.197227986e-01 2.201345184e+00
1.183842031e+00 1.068274513e+00 1.752543435e-01 2.223360805e-01 2.392532444e+00
2.043725226e-01 1.178128002e+00 3.371505747e-01 8.663169268e-01 3.028829246e+00
1.785269642e-01 1.295589401e+00 1.196051298e-02 3.844274139e-01 2.656158622e+00
4.816232010e-01 1.137337791e+00 2.525110075e-01 7.383732960e-01 1.784372838e+00
1.060885041e+00 1.039698643e+00 2.189168717e-02 5.264964958e-01 2.959459273e+00
2.549673786e-01 1.325200453e+00 2.885191210e-01 2.618069263e-01 1.925201785e+00
1.560390735e+00 7.992620572e-01 2.809989487e-01 2.541163849e-01 2.693170602e+00
1.414945102e-01 1.050174356e+00 2.982633965e-01 8.315975267e-01 2.006316161e+00
1.494869332e+00 1.560719266e+00 3.539489602e-01 3.210814217e-01 2.544362802e+00
7.910331506e-01 1.106138704e+00 3.135780730e-01 4.037324909e-01 2.928980168e+00
2.322041360e-01 1.368877282e+00 2.157943223e-01 7.088855026e-01 2.150103677e+00
8.423472070e-01 1.264307046e+00 3.980277567e-01 5.345254969e-01 1.771823079e+00
7.405020400e-01 1.183879567e+00 2.805356399e-01 2.208703648e-01 2.540476069e+00
1.558962904e+00 1.341949522e+00 3.822314461e-01 8.519254161e-01 1.992545072e+00
7.244576586e-01 1.295607919e+00 3.398947254e-01 8.617017727e-01 1.987911277e+00
2.574761116e-01 1.196398523e+00 1.263397568e-01 1.203967313e-01 2.644372735e+00
1.245079621e+00 1.376072726e+00 3.957081291e-01 9.790179973e-01 2.679546831e+00
9.808799367e-01 1.429533118e+00 2.981019062e-01 8.148184974e-01 2.887551372e+00
1.526331694e+00 1.129620644e+00 8.120229574e-02 9.603733022e-01 2.309554647e+00
1.358832253e-01 1.345485892e+00 1.998739396e-02 1.820109153e-01 2.286312638e+00
2.931482353e-02 1.356377546e+00 3.757774890e-01 7.766379811e-01 3.081523103e+00
1.327196571e+00 9.742172884e-01 9.932817823e-02 7.107844283e-01 2.849237337e+00
9.571668293e-01 9.921980810e-01 7.610106360e-02 6.623774399e-01 2.863597466e+00
1.301907371e+00 9.202983780e-01 2.366182091e-01 2.655823895e-01 2.061713415e+00
1.771050633e-01 9.141950756e-01 3.023101172e-02 3.906803807e-01 2.312484719e+00
1.018604872e+00 1.304419144e+00 2.638016615e-01 2.009728241e-01 2.550690342e+00
2.155719388e-01 1.266357455e+00 3.972478898e-01 7.881303006e-01 2.589728429e+00
1.525888205e+00 1.046915448e+00 3.016825374e-01 7.832170546e-01 1.928518391e+00
1.538484237e+00 8.415789793e-01 3.079734729e-02 4.140893070e-01 1.984952650e+00
1.364427681e+00 1.235204336e+00 3.993403165e-02 8.355282767e-01 2.436899507e+00
2.716931376e-01 8.309158327e-01 3.067139034e-01 4.256995374e-01 2.939883210e+00
1.079984659e+00 1.567546386e+00 3.628113964e-01 8.204500421e-01 1.803830252e+00
7.526972400e-01 1.483176577e+00 1.558245078e-01 7.340225277e-01 2.098317291e+00
1.018258807e-01 9.627862295e-01 2.425848783e-01 5.798882953e-01 1.865429121e+00
5.257097071e-01 1.059820426e+00 9.934693454e-02 1.032867008e-01 2.956894859e+00
1.533378623e+00 9.295979368e-01 2.860557987e-01 1.352677497e-01 2.357747756e+00
9.361771534e-01 1.356929338e+00 1.251749780e-01 9.775033332e-01 2.433368982e+00
3.803445973e-01 1.154090880e+00 7.833497892e-02 5.902833542e-01 2.225810943e+00
1.177011425e+00 1.153604808e+00 2.410062692e-01 6.970616440e-01 3.140010553e+00
8.728326410e-01 8.894665460e-01 1.839330953e-01 2.066449104e-01 2.595712760e+00
1.154745757e+00 9.064746472e-01 1.734081324e-01 9.485510652e-01 2.176329717e+00
8.323401127e-01 1.166809257e+00 1.746413325e-02 4.759727581e-01 2.085959581e+00
5.804842454e-01 1.427334634e+00 2.244571690e-01 7.915993491e-01 1.884355442e+00
1.221737433e+00 1.145563850e+00 2.491956890e-01 1.258400637e-01 1.921377630e+00
3.465929673e-01 1.507522964e+00 2.010118502e-01 3.883557068e-01 3.117753757e+00
1.468478097e+00 1.156117116e+00 1.230012312e-01 9.257254256e-01 2.062862662e+00
1.324737013e+00 1.493077122e+00 2.588663408e-01 1.050344046e-01 1.722568083e+00
7.744985979e-01 8.006248878e-01 1.969463630e-01 8.570247759e-01 2.291572374e+00
1.542769850e+00 1.454809567e+00 4.308222172e-02 9.510836386e-01 2.163191977e+00
3.309096917e-01 1.066862876e+00 2.109210330e-01 7.035190978e-01 1.888547110e+00
1.028344022e+00 1.549074819e+00 3.346560347e-01 5.540815068e-01 3.003623827e+00
1.099462567e+00 1.278094331e+00 1.175520858e-01 9.451045338e-01 2.080152040e+00
1.349127860e+00 1.530592777e+00 1.488149044e-01 2.720095473e-01 2.837056102e+00
1.188739863e+00 8.470916326e-01 3.114400941e-01 3.412578792e-01 1.633861646e+00
5.160675751e-01 1.491365269e+00 3.972633445e-01 5.689619807e-01 2.387433134e+00
1.354003232e+00 1.313308213e+00 1.848867677e-01 6.296837533e-01 1.604579544e+00
8.600980559e-01 9.941519814e-01 1.513229626e-01 9.192308453e-01 2.445106431e+00
6.267703042e-01 1.135725604e+00 2.631153478e-01 1.194396996e-01 1.820225916e+00
1.309787072e+00 1.190422455e+00 3.794470667e-01 3.870951568e-01 1.844671848e+00
1.404280145e+00 1.406842472e+00 6.142092218e-02 9.582567788e-01 2.619160537e+00
4.324678193e-02 1.239429998e+00 1.386439818e-01 9.354115779e-01 2.004702644e+00
1.296351923e+00 1.307210903e+00 2.518487248e-01 3.765469128e-01 2.928316809e+00
