# init omega gamma A f
3.289419920e-01 1.208804506e+00 2.437405316e-01 8.793426947e-01 2.600590406e+00
1.509548591e+00 1.448740857e+00 3.315279898e-01 8.093858940e-01 1.916989195e+00
8.791460347e-02 1.246718836e+00 4.509943404e-02 4.716359107e-01 2.616350382e+00
6.019179766e-02 1.258555528e+00 2.593856006e-01 1.386539262e-01 2.470410402e+00
4.438006225e-01 1.440166887e+00 5.489494345e-02 5.554340381e-01 3.046934541e+00
1.425759701e+00 1.354499815e+00 3.885642407e-01 2.942585744e-01 1.921253968e+00
1.910765747e-01 9.337198462e-01 3.917717940e-01 6.809391304e-01 2.982698793e+00
1.201601227e+00 8.719093314e-01 3.474486557e-01 6.880330145e-01 1.598189752e+00
1.220673257e+00 9.916240006e-01 6.918608937e-02 2.175276083e-01 2.859567954e+00
7.495956234e-01 1.356126570e+00 2.750158352e-01 9.422927385e-01 2.857754698e+00
1.237098933e+00 9.183371394e-01 1.916727782e-01 3.632008924e-01 2.550673132e+00
1.529695468e+00 1.146624855e+00 2.592974759e-02 7.127799046e-01 2.209125752e+00
6.268922505e-01 1.024028033e+00 1.338708776e-01 4.150553366e-01 2.080464642e+00
8.036762395e-01 7.870587982e-01 3.904716600e-01 7.772473877e-01 2.344739466e+00
3.870094525e-01 1.340935500e+00 2.383955545e-01 5.756638816e-01 2.796264612e+00
5.262375832e-01 1.201356792e+00 9.685395638e-02 1.852491359e-01 2.898430174e+00
8.325420386e-01 1.194387560e+00 2.997234982e-01 1.737724115e-01 1.648096211e+00
9.416690462e-01 9.469412769e-01 2.222650069e-01 2.836886079e-01 3.095868582e+00
1.451265846e+00 1.075457408e+00 2.940535924e-01 8.100044736e-01 2.091319530e+00
9.980802492e-01 1.317244713e+00 2.119536692e-01 7.463909760e-01 3.141324218e+00
4.960036896e-01 1.377033683e+00 1.478190993e-01 8.677336813e-01 1.998937419e+00
7.907956812e-02 1.121914723e+00 3.111128827e-01 4.724156648e-01 2.708298117e+00
4.615942799e-01 1.020997149e+00 8.825917439e-02 8.636037023e-01 2.026905382e+00
5.579830866e-02 1.024529309e+00 3.739448767e-01 4.240557269e-01 2.000074867e+00
3.201087647e-01 1.313410881e+00 3.373415103e-01 8.800778831e-01 2.753489005e+00
8.170343673e-01 1.343524849e+00 1.972244484e-01 3.080629467e-01 1.956986673e+00
1.227685814e+00 1.095632292e+00 3.928631164e-01 5.576094122e-01 2.503304971e+00
2.330095668e-01 1.091141629e+00 8.426546105e-02 4.470369856e-01 2.015790278e+00
4.182443618e-01 1.475314373e+00 2.618656548e-01 4.139058201e-01 1.852657425e+00
3.670253770e-01 9.359115831e-01 2.799758435e-01 2.420041685e-01 3.060120438e+00
